Sonny Callahan,Alabama
Terry Everett,Alabama
Glen Browder,Alabama
Tom Bevill,Alabama
Robert E. (Bud) Cramer Jr.,Alabama
Spencer Bachus,Alabama
Earl F. Hilliard,Alabama
Don Young,Alaska
Matt Salmon,Arizona
Ed Pastor,Arizona
Bob Stump,Arizona
John B. Shadegg,Arizona
Jim Kolbe,Arizona
J.D. Hayworth,Arizona
Blanche Lambert Lincoln,Arkansas
Ray Thornton,Arkansas
Tim Hutchinson,Arkansas
Jay Dickey,Arkansas
Frank Riggs,California
Wally Herger,California
Vic Fazio,California
John T. Doolittle,California
Robert T. Matsui,California
Lynn C. Woolsey,California
George Miller,California
Nancy Pelosi,California
Ronald V. Dellums,California
Bill Baker,California
Richard W. Pombo,California
Tom Lantos,California
Fortney Pete Stark,California
Anna G. Eshoo,California
Norman Y. Mineta,California
Tom Campbell,California
Zoe Lofgren,California
Sam Farr,California
Gary A. Condit,California
George Radanovich,California
Calvin M. Dooley,California
William M. Thomas,California
Andrea Seastrand,California
Elton Gallegly,California
Anthony C. Beilenson,California
Howard P. (Buck) McKeon,California
Howard L. Berman,California
Carlos J. Moorhead,California
David Dreier,California
Henry A. Waxman,California
Xavier Becerra,California
Matthew G. Martinez,California
Julian C. Dixon,California
Lucille Roybal-Allard,California
Esteban Edward Torres,California
Maxine Waters,California
Jane Harman,California
Walter R. Tucker III,California
Juanita Millender-McDonald,California
Stephen Horn,California
Edward R. Royce,California
Jerry Lewis,California
Jay Kim,California
"George Brown, Jr.",California
Ken Calvert,California
Sonny Bono,California
Dana Rohrabacher,California
Robert K. Dornan,California
Christopher Cox,California
Ron Packard,California
Brian Bilbray,California
Bob Filner,California
Randy (Duke) Cunningham,California
Duncan Hunter,California
Patricia Schroeder,Colorado
David E. Skaggs,Colorado
Scott McInnis,Colorado
Wayne Allard,Colorado
Joel Hefley,Colorado
Dan Schaefer,Colorado
Barbara B. Kennelly,Connecticut
Sam Gejdenson,Connecticut
Rosa L. DeLauro,Connecticut
Christopher Shays,Connecticut
Gary A. Franks,Connecticut
Nancy L. Johnson,Connecticut
Michael N. Castle,Delaware
Joe Scarborough,Florida
Pete Peterson,Florida
Corrine Brown,Florida
Tillie K. Fowler,Florida
Karen Thurman,Florida
Cliff Stearns,Florida
John L. Mica,Florida
Bill McCollum,Florida
Michael Bilirakis,Florida
C.W. Bill Young,Florida
Sam M. Gibbons,Florida
Charles T. Canady,Florida
Dan Miller,Florida
Porter J. Goss,Florida
Dave Weldon,Florida
Mark Foley,Florida
Carrie P. Meek,Florida
Ileana Ros-Lehtinen,Florida
Harry A. Johnston,Florida
Peter Deutsch,Florida
Lincoln Diaz-Balart,Florida
"E. Clay Shaw, Jr.",Florida
Alcee L. Hastings,Florida
Jack Kingston,Georgia
"Sanford D. Bishop, Jr.",Georgia
Mac Collins,Georgia
John Linder,Georgia
John Lewis,Georgia
Newt Gingrich,Georgia
Bob Barr,Georgia
Saxby Chambliss,Georgia
Nathan Deal,Georgia
Charlie Norwood,Georgia
Cynthia A. McKinney,Georgia
Neil Abercrombie,Hawaii
Patsy T. Mink,Hawaii
Helen Chenoweth,Idaho
Michael D. Crapo,Idaho
Bobby Rush,Illinois
Mel Reynolds,Illinois
"Jesse L. Jackson, Jr.",Illinois
William O. Lipinski,Illinois
Luis V. Gutierrez,Illinois
Michael Patrick Flanagan,Illinois
Henry J. Hyde,Illinois
Cardiss Collins,Illinois
Philip M. Crane,Illinois
Sidney R. Yates,Illinois
John Edward Porter,Illinois
Jerry Weller,Illinois
Jerry F. Costello,Illinois
Harris W. Fawell,Illinois
J. Dennis Hastert,Illinois
Thomas W. Ewing,Illinois
Donald A. Manzullo,Illinois
Lane Evans,Illinois
Ray LaHood,Illinois
Glenn Poshard,Illinois
Richard J. Durbin,Illinois
Peter J. Visclosky,Indiana
David M. McIntosh,Indiana
Tim Roemer,Indiana
Mark E. Souder,Indiana
Steve Buyer,Indiana
Dan Burton,Indiana
John T. Myers,Indiana
John N. Hostettler,Indiana
Lee H. Hamilton,Indiana
"Andrew Jacobs, Jr.",Indiana
James A. Leach,Iowa
Jim Nussle,Iowa
Jim Ross Lightfoot,Iowa
Greg Ganske,Iowa
Tom Latham,Iowa
Pat Roberts,Kansas
Sam Brownback,Kansas
Jim Ryun,Kansas
Jan Meyers,Kansas
Todd Tiahrt,Kansas
Ed Whitfield,Kentucky
Ron Lewis,Kentucky
Mike Ward,Kentucky
Jim Bunning,Kentucky
Hal Rogers,Kentucky
Scotty Baesler,Kentucky
"James B. Longley, Jr.",Maine
John Baldacci,Maine
Wayne T. Gilchrest,Maryland
"Robert L. Ehrlich, Jr.",Maryland
Benjamin L. Cardin,Maryland
Albert Russell Wynn,Maryland
Steny H. Hoyer,Maryland
Roscoe G. Bartlett,Maryland
Kweisi Mfume,Maryland
Elijah Cummings,Maryland
Constance A. Morella,Maryland
John W. Olver,Massachusetts
Richard E. Neal,Massachusetts
Peter I. Blute,Massachusetts
Barney Frank,Massachusetts
Martin T. Meehan,Massachusetts
Peter G. Torkildsen,Massachusetts
Edward J. Markey,Massachusetts
Joseph P. Kennedy II,Massachusetts
John Joseph Moakley,Massachusetts
Gerry E. Studds,Massachusetts
Bart Stupak,Michigan
Peter Hoekstra,Michigan
Vernon J. Ehlers,Michigan
Dave Camp,Michigan
James A. Barcia,Michigan
Fred Upton,Michigan
Nick Smith,Michigan
Dick Chrysler,Michigan
Dale E. Kildee,Michigan
David E. Bonior,Michigan
Joe Knollenberg,Michigan
Sander M. Levin,Michigan
Lynn N. Rivers,Michigan
"John Conyers, Jr.",Michigan
Barbara-Rose Collins,Michigan
John D. Dingell,Michigan
Gil Gutknecht,Minnesota
David Minge,Minnesota
Jim Ramstad,Minnesota
Bruce F. Vento,Minnesota
Martin Olav Sabo,Minnesota
Bill Luther,Minnesota
Collin C. Peterson,Minnesota
James L. Oberstar,Minnesota
Roger F. Wicker,Mississippi
Bennie G. Thompson,Mississippi
"G.V. ""Sonny"" Montgomery",Mississippi
Mike Parker,Mississippi
Gene Taylor,Mississippi
William L. Clay,Missouri
James M. Talent,Missouri
"Richard A. ""Dick"" Gephardt",Missouri
